,year,date,stream,total_value,total_volume,ma_volume,ma_value,day
62,2020,7/6/2020,Q-POS - CR,8872502.52,131253,178552.4,12000788.12,7/6/2021
63,2020,7/6/2020,R-Image Returns,0,0,0,0,7/6/2021
64,2020,7/6/2020,S-Image Returns,16095658.99,2329,1219,9021842.91,7/6/2021
65,2020,7/6/2020,U-Unqualified,2418792.24,1361,1159,1930839.856,7/6/2021
66,2020,7/6/2020,V-SET,0,0,0,0,7/6/2021
67,2020,7/6/2020,X-EDI,444311176,15461,20174.2,771272558.8,7/6/2021
68,2020,7/6/2020,Y-Remittances,1533829167,2377185,2248003.2,1475116737,7/6/2021
69,2020,7/6/2020,Z-Computer Rejects,1632759.62,271,262.8,2883425.618,7/6/2021
70,2020,7/7/2020,A-ABM Adjust.,5950.25,31,32,5817.92,7/7/2021
71,2020,7/7/2020,B-CSB,469167.17,419,367,315206.476,7/7/2021
72,2020,7/7/2020,C-AFT Credit,8593564234,1814580,3648687,13932591603,7/7/2021
73,2020,7/7/2020,D-AFT Debit,3013866575,4802705,6218651.4,5091276723,7/7/2021
74,2020,7/7/2020,E-Encoded Paper,581461767.7,50840,46128.4,905429799.9,7/7/2021
75,2020,7/7/2020,F-Remittances,2563524.17,1210,2378.8,4600279.878,7/7/2021
76,2020,7/7/2020,G-Rec Gen Warr,414087338.7,176878,164885.4,447588314.3,7/7/2021
77,2020,7/7/2020,H-Bonds & Coupon,554.25,29,6,158.55,7/7/2021
78,2020,7/7/2020,I-Images,0,0,0,0,7/7/2021
79,2020,7/7/2020,J-Online Cr Pmt,9335881.4,33239,24047.8,8402180.074,7/7/2021
80,2020,7/7/2020,K-Online Pmt Ref,61900.61,783,511.4,52632.822,7/7/2021
81,2020,7/7/2020,M-Gov Direc Dep,3606270469,6888644,3616543.2,1988271571,7/7/2021
82,2020,7/7/2020,N-Shared Network,114132656.8,823286,602303.4,92417641.58,7/7/2021
83,2020,7/7/2020,O-Images,9139767413,1755731,1697220,10581976494,7/7/2021
84,2020,7/7/2020,P-POS - DR,1683874112,42230832,28998209.6,1200782922,7/7/2021
85,2020,7/7/2020,Q-POS - CR,21960247.92,334669,220459,14710231.18,7/7/2021
86,2020,7/7/2020,R-Image Returns,0,0,0,0,7/7/2021
87,2020,7/7/2020,S-Image Returns,7066804.04,1393,1349.8,9622748.714,7/7/2021
88,2020,7/7/2020,U-Unqualified,1467217.11,833,985,1773973.836,7/7/2021
89,2020,7/7/2020,V-SET,0,0,0,0,7/7/2021
90,2020,7/7/2020,X-EDI,641298238.7,14829,19906.6,762708412.4,7/7/2021
91,2020,7/7/2020,Y-Remittances,1270350387,2416985,2421138.2,1531558198,7/7/2021
92,2020,7/7/2020,Z-Computer Rejects,1944329.7,241,267.8,2980380.04,7/7/2021
93,2020,7/8/2020,A-ABM Adjust.,6359.85,40,34.6,6302.844,7/8/2021
94,2020,7/8/2020,B-CSB,442592.46,293,346.6,335198.84,7/8/2021
95,2020,7/8/2020,C-AFT Credit,6820057535,1282155,3461240.8,13105215786,7/8/2021
96,2020,7/8/2020,D-AFT Debit,2803002646,2401955,5761965.8,4904744404,7/8/2021
97,2020,7/8/2020,E-Encoded Paper,536366942.5,41093,46455.4,851173429.2,7/8/2021
98,2020,7/8/2020,F-Remittances,2116904.61,1555,2462.2,4216779.59,7/8/2021
99,2020,7/8/2020,G-Rec Gen Warr,331090567.8,183773,154045.8,410861575.6,7/8/2021
100,2020,7/8/2020,H-Bonds & Coupon,0,0,6,158.55,7/8/2021
101,2020,7/8/2020,I-Images,0,0,0,0,7/8/2021
102,2020,7/8/2020,J-Online Cr Pmt,4680016.44,12567,20130.6,7254163.354,7/8/2021
103,2020,7/8/2020,K-Online Pmt Ref,11939.15,150,386.2,37844.798,7/8/2021
104,2020,7/8/2020,M-Gov Direc Dep,3080192349,1777815,3794454.6,2293630846,7/8/2021
105,2020,7/8/2020,N-Shared Network,42899689,291557,498662.6,77124703.84,7/8/2021
106,2020,7/8/2020,O-Images,8144567949,1186321,1620228.6,10253293563,7/8/2021
107,2020,7/8/2020,P-POS - DR,582814201.7,14327745,23635691.6,971484823,7/8/2021
108,2020,7/8/2020,Q-POS - CR,7944870.21,118665,176090,11784518.77,7/8/2021
109,2020,7/8/2020,R-Image Returns,0,0,0,0,7/8/2021
110,2020,7/8/2020,S-Image Returns,7397561.17,1595,1513.2,10162441.86,7/8/2021
111,2020,7/8/2020,U-Unqualified,1185950.67,751,932.6,1594104.666,7/8/2021
112,2020,7/8/2020,V-SET,0,0,0,0,7/8/2021
113,2020,7/8/2020,X-EDI,478623251.9,11754,19139.2,721649882.2,7/8/2021
114,2020,7/8/2020,Y-Remittances,1228750042,2149270,2355255.2,1466686745,7/8/2021
115,2020,7/8/2020,Z-Computer Rejects,3532432.21,289,269.2,3168432.558,7/8/2021
116,2020,7/9/2020,A-ABM Adjust.,5231.78,31,35.2,6271.954,7/9/2021
117,2020,7/9/2020,B-CSB,196589.41,223,291.4,321953.49,7/9/2021
118,2020,7/9/2020,C-AFT Credit,6433665796,1366889,2721906.2,10425073681,7/9/2021
119,2020,7/9/2020,D-AFT Debit,2885844328,1861326,5379234.8,4516169862,7/9/2021
120,2020,7/9/2020,E-Encoded Paper,439084567.3,36160,45598.6,587256237.9,7/9/2021
121,2020,7/9/2020,F-Remittances,1774961.58,1763,2450.6,4119273.064,7/9/2021
122,2020,7/9/2020,G-Rec Gen Warr,362799152.9,221473,169216.6,379553128.5,7/9/2021
123,2020,7/9/2020,H-Bonds & Coupon,0,0,6,158.55,7/9/2021
124,2020,7/9/2020,I-Images,0,0,0,0,7/9/2021
125,2020,7/9/2020,J-Online Cr Pmt,4854246.62,13667,19896.4,6631163.518,7/9/2021
126,2020,7/9/2020,K-Online Pmt Ref,68907.71,434,425,43493.606,7/9/2021
127,2020,7/9/2020,M-Gov Direc Dep,1446900303,555999,3851349.4,2283954047,7/9/2021
128,2020,7/9/2020,N-Shared Network,62066884.16,355022,495987.4,75865220.75,7/9/2021
129,2020,7/9/2020,O-Images,7440268869,1074484,1554120.6,9108360597,7/9/2021
130,2020,7/9/2020,P-POS - DR,620249269,14699992,23396107,950452324.7,7/9/2021
131,2020,7/9/2020,Q-POS - CR,7850201.19,116877,173698.2,11598575.3,7/9/2021
132,2020,7/9/2020,R-Image Returns,0,0,0,0,7/9/2021
133,2020,7/9/2020,S-Image Returns,4235007.04,1041,1473.2,8992170.488,7/9/2021
134,2020,7/9/2020,U-Unqualified,1044054.2,571,813,1468181.884,7/9/2021
135,2020,7/9/2020,V-SET,0,0,0,0,7/9/2021
136,2020,7/9/2020,X-EDI,428799774.5,15284,18055.8,628510560.8,7/9/2021
