boc,Bank of Canada,,,,,
,,,,,,
Row Labels,Sum of tot_value,,,,,
2021,"$36,284,955,313,904.40",,,,,
Qtr3,"$17,816,506,523,663.50",,%Change,0.216529758,,
Qtr4,"$18,468,448,790,240.90",,,,,
2022,"$44,141,727,917,369.70",,,,,
Qtr1,"$16,841,113,173,549.60",,,,,
Qtr2,"$14,217,951,559,924.30",,q2 change,,,
Qtr3,"$13,082,663,183,895.90",,q3 change,-0.265699863,,
Grand Total,"$80,426,683,231,274.10",,,,,
